feature_name,rename,null,null_replacement,val1,val1_replacement,val2,val2_replacement,val3,val3_replacement
x.ageg5yr,age,?,median,14,median,,,,
x.rfbing5,alcohol,?,median,9,median,,,,
children,children,?,median,99,median,88,0,,
diabete3,diabetes,?,median,7,median,9,median,,
seatbelt,seatbelt,?,median,7,median,9,median,,
educa,edu,?,median,9,median,,,,
employ1,employ,?,median,9,median,,,,
x.totinda,exercise,?,median,9,median,,,,
genhlth,gen_health,?,median,7,median,9,median,,
hlthpln1,healthcare_coverage,?,median,7,median,9,median,,
deaf,deaf,?,median,7,median,9,median,,
htm4,height,?,median,,,,,,
x.aidtst3,aids,?,median,9,median,,,,
renthom1,home,?,median,7,median,9,median,,
income2,income,?,median,77,median,99,median,,
chckdny1,kidney,?,median,7,median,9,median,,
qstlang,language,?,median,,,,,,
x.metstat,metro,?,median,,,,,,
x.state,state,?,median,,,,,,
x.asthms1,asthma,?,median,9,median,,,,
marital,marital,?,median,9,median,,,,
menthlth,mental_health,?,median,77,median,99,median,88,0
lastden4,dental,?,median,7,median,9,median,,
physhlth,phys_health,?,median,77,median,99,median,88,0
x.imprace,race,?,median,,,,,,
sex1,sex,?,median,7,median,9,median,,
sleptim1,sleep,?,median,77,median,99,median,,
x.smoker3,smoker,?,median,9,median,,,,
veteran3,veteran,?,median,7,median,9,median,,
blind,blind,?,median,7,median,9,median,,
havarth3,havarth,?,median,,,,,,
wtkg3,weight,?,median,,,,,,
x.llcpwt,design_weight,?,median,,,,,,
